Humidity,Temperature,Light Intensity Level,CO Level
48.7,50.2,284,1.45
47.5,50.2,282,1.45
46.9,50.5,274,1.43
47.1,50.8,269,1.37
46.6,51,268,1.37
45.9,51.3,265,1.45
44.6,51.5,267,1.42
44.8,51.9,277,1.41
44.5,52.2,272,1.42
43.6,52.2,279,1.31
43.4,52.3,286,1.29
43,52.6,292,1.3
42.4,53.4,299,1.33
41.6,54.3,307,1.33
40.6,54.4,270,1.35
39.9,54.9,260,1.31
39.4,55.8,257,1.31
38.6,56.7,260,1.35
37.5,57.4,255,1.36
36.7,58.1,253,1.44
36.3,58.8,252,1.4
35.9,59.6,253,1.41
35.5,60.1,250,1.54
35.3,60.8,254,1.44
34.6,61.3,256,1.42
34.1,61.8,257,1.39
33.5,62.3,258,1.4
32.9,62.5,260,1.41
32.7,62.9,265,1.42
32.5,63.2,269,1.44
32.4,63.3,268,1.45
32.6,63.5,266,1.48
32.1,63.7,273,1.48
32,63.8,271,1.52
31.8,63.8,280,1.5
31.8,63.9,282,1.52
31.6,63.9,285,1.54
31.5,63.9,287,1.55
31.5,64.1,287,1.56
31.1,64,287,1.59
31.1,63.9,286,1.61
31.4,63.9,281,1.62
31.4,63.7,283,1.67
31.4,63.5,283,1.63
31.6,63.2,283,1.61
31.8,63,283,1.61
31.8,62.7,280,1.61
31.9,62.5,280,1.61
32,62.3,278,1.64
32.3,62,277,1.67
32.4,61.7,272,1.68
32.5,61.3,275,1.65
32.5,60.8,275,1.65
32.6,60.6,275,1.64
32.8,60.2,275,1.63
33.3,60,279,1.59
33.6,59.8,278,1.6
34.1,59.6,278,1.63
34.3,59.4,278,1.66
34.7,59,278,1.69
34.4,58.5,278,1.7
35.1,58.3,276,1.8
35.1,58,275,1.84
35,57.8,276,1.86
35.4,57.5,276,1.84
35.7,57.2,273,1.83
35.8,56.8,272,1.79
36.2,56.6,269,1.82
36.5,56.2,269,1.82
36.6,55.8,273,1.76
37,55.6,272,1.72
37.1,55.2,273,1.7
37.3,54.8,274,1.73
37.6,54.5,276,1.69
38.2,54.2,276,1.71
38.5,53.9,275,1.71
38.6,53.7,273,1.71
38.8,53.4,269,1.79
39.2,53.2,270,1.77
39.2,52.9,270,1.77
39.4,52.8,269,1.77
39.9,52.6,268,1.79
40.1,52.3,269,1.85
40.3,52.1,264,1.87
40.8,52,265,1.87
41.1,51.8,249,1.81
41.2,51.4,242,1.82
42,50.9,272,1.23
43.1,50.5,221,0.92
43,50.4,282,0.71
42.9,50.3,251,0.84
42.7,50.2,202,1.13
42.8,50.2,211,1.14
42.7,50.1,240,1.23
43,50,192,1.27
43.2,49.8,179,1.11
43.9,49.7,177,1.22
44.3,49.6,182,1.29
44.5,49.5,184,1.32
44.8,49.5,190,0.96
45.7,49.4,189,1.1
45.2,49.3,177,1.18
44.6,49.2,178,0.87
45,47,180,0.81
46.5,48.9,228,1
46.3,48.9,228,1.12
45.9,48.7,223,1.18
46.1,48.6,217,1.21
46.2,48.4,211,1.25
47.2,48.2,212,1.29
47.3,48,215,1.35
47,47.8,201,1.49
47.6,47.6,250,1.46
47.4,47.6,247,1.46
46.9,47.3,226,1.49
46.9,47.1,229,1.52
47.2,47,236,1.58
46.9,46.8,165,1.59
47.7,46.5,161,1.58
48.6,46.4,182,1.69
49.1,46.2,185,1.61
49.5,46.1,176,1.65
49.5,46,190,0.92
51.3,46.1,184,1.05
50.8,46.1,200,1.21
50.4,46,216,1.3
50.5,45.8,212,1.37
50.8,45.7,213,1.41
50.6,45.7,216,1.49
51,45.5,211,1.53
51.4,45.5,216,1.57
51.3,45.3,216,1.56
51.7,45.2,215,1.59
51.8,45.1,215,1.63
51.9,44.9,216,1.66
52,44.8,210,1.68
52.2,44.7,237,1.63
53.4,44.8,247,1.66
55.7,45.2,240,1.33
57.5,45.7,251,0.91
59.6,46.5,244,1.12
54.1,46.7,244,1.36
52.2,46.8,245,1.42
51.3,46.7,238,1.55
50.8,46.7,248,1.56
50.7,46.5,242,1.54
50.9,46.3,242,1.65
51.8,46.1,285,1.61
50.6,45.8,307,1.65
50,45.6,313,1.71
49.7,45.5,272,1.68
49.4,45.4,287,1.71
49.9,45.2,291,1.76
50.2,45.1,249,1.71
51.1,45,253,1.67
51.4,44.8,266,1.59
52.8,44.8,264,1.53
53,44.6,262,1.5
52.5,44.5,264,1.48
52.9,44.4,264,1.55
53.1,44.3,264,1.66
53.1,44.2,266,1.7
53.3,44,280,1.71
54,43.9,282,1.5
54.8,43.8,281,1.34
55,43.7,266,1.35
55,43.6,263,1.32
55.3,43.4,265,1.3
55.4,43.3,289,1.31
92.7,31.9,152,1.78
92.9,32,152,1.78
93,31.9,151,1.76
93.2,31.9,152,1.8
93.4,31.9,152,1.76
93.5,31.9,151,1.76
93.5,31.9,150,1.79
93.7,31.9,151,1.82
93.6,31.9,154,1.83
93.9,31.9,157,1.88
93.8,31.9,155,1.87
93.6,31.8,157,1.9
94.1,31.9,152,1.91
93.9,31.9,155,1.9
93.9,31.8,149,1.93
93.7,31.8,150,1.93
93.9,31.7,150,1.92
94.3,31.7,148,1.92
94.3,31.7,151,1.93
94.2,31.7,149,1.93
94,31.7,155,1.94
94,31.7,159,1.95
94.4,31.7,157,1.98
94.2,31.7,155,2.03
94,31.7,151,2.04
93.7,31.7,150,2.04
93.8,31.7,146,2.04
94.1,31.7,143,2.04
94.3,31.7,148,2.05
94,31.7,147,2.06
94,31.7,147,2.04
93.8,31.7,151,2.05
94.2,31.7,156,2.05
94.3,31.7,154,2.06
94.4,31.7,153,2.06
94.5,31.7,155,2.05
94.4,31.7,156,2.15
94.7,31.7,155,2.02
94.8,31.7,155,1.97
94.2,31.7,154,2.08
93.7,31.7,157,2.09
93.7,31.7,158,2.11
93.5,31.7,159,2.08
93.6,31.8,160,2.07
93.7,31.8,149,2.1
93.9,31.9,166,2.07
95.3,32.2,158,2.06
94.1,32.6,162,2.08
94.4,33,166,2.08
94.6,33.6,166,2.13
92.7,34.4,169,2.08
92.7,35.3,171,2.07
93.5,36.3,184,1.92
93.6,37.5,186,2.06
91,39,191,1.99
90.2,40.6,196,2.01
89.5,42.6,201,2.04
72.2,44.5,194,2.04
68.3,46.4,184,2.05
60.9,48,191,2.06
63.7,49.7,185,2.08
61.5,51.3,191,2.08
55.3,53,194,2.09
54.5,54.7,192,2.11
50.1,56.5,193,2.07
48,58.4,196,2.12
46.8,60.1,193,2.12
44.3,61.9,186,2.13
42.6,63.4,184,2.14
40.2,64.8,187,2.14
40.7,66.2,191,2.15
39.1,67.5,192,2.16
37.6,68.8,190,2.16
37.5,70,191,2.16
36.3,71.2,186,2.18
34.9,72.5,185,2.19
33.9,73.6,183,2.2
33.6,74.5,186,2.2
33,75.5,184,2.19
32.6,76.5,183,2.2
31.8,77.5,187,2.2
31.3,78.6,187,2.2
31.3,79.5,189,2.22
30.4,80.4,189,2.22
30.2,81.4,189,2.2
30,82.3,198,2.16
29.8,83.7,190,2.16
29.7,84.8,179,2.17
29.4,85.9,178,2.17
29.1,86.8,179,2.17
28.6,87.7,188,2.17
28.2,88.6,197,2.19
27.7,89.6,195,2.21
27.2,90.2,198,2.22
27,90.9,205,2.24
26.6,91.6,210,2.23
26.5,92.3,193,2.21
26.1,92.7,193,2.17
25.9,93,199,2.18
25.7,93.4,195,2.25
25.5,93,213,2.13
25.3,92.2,218,2.11
25.1,91.5,221,1.5
25.2,90.4,221,1.55
24.9,90,225,1.59
24.6,89.7,222,1.75
24.5,89.4,234,1.7
24.8,89.5,218,1.68
24.8,89.1,201,1.65
24.8,89.1,205,1.56
24.7,88.7,190,1.4
25,88.8,226,1.35
24.5,87.8,232,1
24.9,87.2,259,1.16
24,85.7,265,1.2
23.8,84.1,260,0.68
27.1,83.8,264,0.89
25,84.5,224,0.83
25.3,83.9,268,0.57
28.3,83.7,255,0.79
25.7,83.3,244,0.9
25.6,82.8,250,0.94
26.6,82.3,247,0.79
27.4,82.1,242,0.82
26.3,81.9,242,0.94
25.6,81.3,257,1.05
25.5,80.9,235,1.09
25.3,80.2,239,1.17
25.4,79.8,263,1.19
25.4,79.1,254,1.22
25.3,78.3,267,1.1
25.6,78,268,1.1
25.7,77.4,269,0.77
27.7,77.2,276,0.79
27.9,76.9,283,0.82
27.3,76.9,274,0.94
26.6,76.7,274,1.04
26.6,76.5,254,1.1
26.7,76.1,277,1.03
27.8,75.9,281,0.68
29.3,75.3,249,0.76
27.8,75.1,252,0.86
27.4,74.7,258,0.91
27.3,74.5,254,0.97
27.3,74.2,252,1.02
27.4,73.8,258,1.06
27.8,73.8,263,1.09
27.9,74,258,1.12
27.8,74.2,255,1.15
27.9,74.2,253,1.15
27.8,74,252,0.96
29.6,74,259,1.07
27.4,72.8,259,1.07
28.5,71.7,250,0.94
28.4,72.2,258,1.07
27.7,72.2,243,1.15
27.5,72.2,245,0.95
28.4,71.6,241,0.9
28.5,70.9,240,0.9
29,70.4,233,0.98
28.6,70.5,240,1.08
27.9,70.3,243,1.12
27.8,69.9,239,1.17
28,69.6,225,1.25
28.1,69.3,230,1.07
29,68.9,234,0.95
29.6,68.6,227,0.95
29.4,68.3,230,1.02
28.7,67.9,219,1.11
28.5,67.4,215,1.14
28.5,67,222,1.11
28.8,66.7,245,1.2
28.9,66.3,242,1.2
29,66,245,1.2
28.9,65.6,250,1.23
29.1,65.3,248,1.27
29.2,65,242,1.27
29.4,64.6,221,1.07
31.1,64,221,0.8
34.2,63.7,220,0.77
31.8,63.4,222,0.79
32.6,63.1,237,0.86
32.1,62.9,230,0.87
32,62.6,248,0.97
31,62.4,251,1.04
30.7,62,230,1.09
30.9,61.6,239,1.12
31.1,61.6,230,1.14
31.4,61.5,240,1.17
31.7,61.5,270,1.19
31.8,61.5,253,1.22
32.2,61.5,301,1.23
32.3,62.2,298,1.23
32.5,62.8,300,1.24
32.5,63.5,292,1.25
32.9,64.1,295,1.22
33.2,64.8,289,1.27
33.1,65.3,261,1.29
32.5,65.7,220,1.11
33.6,66,248,0.79
35.6,66.4,252,0.81
34.5,66.7,254,0.71
37.4,67.5,255,0.78
34.9,68.3,244,0.74
35.7,68.8,254,0.74
31.5,69,256,0.67
33.9,68.9,273,0.77
33.1,68.4,261,0.69
33.9,68.6,269,0.53
35,68.7,257,0.58
33.1,68.7,230,0.73
31.2,68.8,245,0.79
30,68.8,243,0.89
29.8,68.8,252,0.88
29.6,68.8,257,0.9
29.5,68.8,228,0.95
29.5,68.8,226,1
31.6,68.8,247,0.73
31.9,68.7,258,0.71
31.6,68.7,251,0.82
29.7,68.3,250,0.83
29,68.2,251,0.81
29.3,67.9,267,0.92
28.6,67.6,265,0.86
30.2,67.4,255,0.75
31,67.3,265,0.87
30.1,67,252,0.77
30.6,66.7,256,0.78
30,66.4,255,1.07
29.6,66.3,253,1.17
29.4,66.2,249,1.24
29.4,66,251,1.23
29.6,65.9,254,1.13
30.6,65.8,245,1.11
29.5,64.9,245,0.95
31.1,64.5,241,1.13
29.5,64.3,252,1.1
29.5,64,259,0.88
31.6,63.8,245,0.92
31.2,63.5,239,1.04
30.6,63.4,241,1.16
30.4,63.2,243,1.21
30.8,63,242,1.22
31.1,62.8,242,1.27
30.8,62.7,242,1.33
30.7,62.6,237,1.18
32.3,62.2,236,1.12
31.4,61.5,243,1.2
30.7,60.8,247,1.12
31.5,60.3,222,0.96
32.9,60.2,214,0.98
33.3,60.1,240,0.86
34.3,60,239,0.88
34.5,59.9,227,0.97
33.6,59.6,257,0.98
33.9,59.3,252,0.9
34.4,59.1,259,1.05
33.2,58.9,254,1.08
33.1,58.7,224,1.21
33.1,58.6,224,1.19
33.2,58.3,214,1.28
33.6,58.3,208,1.33
33.9,57.9,210,1.25
35.6,57.6,213,1.31
34,57,229,1.38
33.8,56.8,224,1.41
33.8,56.7,221,1.49
34.1,56.5,226,1.42
34.4,56.2,245,1.44
34.6,56,254,1.47
34.9,55.8,255,1.44
35,55.6,259,1.44
35.2,55.4,234,1.48
35.4,55.1,222,1.5
35.5,54.9,224,1.52
35.6,54.7,230,1.55
35.8,54.5,223,1.57
36,54.4,247,1.58
36.3,54.2,252,1.59
36.3,54,249,1.61
36.6,53.9,242,1.65
36.7,53.7,249,1.65
37.3,53.5,250,1.67
37,53.3,231,1.65
36.9,53.2,224,1.69
37,53.1,253,1.6
37.1,53,255,1.62
37.2,52.8,239,1.63
37.2,52.6,247,1.66
37.4,52.6,222,1.67
37.7,52.4,226,1.61
38,52,222,1.4
38.9,51.6,228,1.39
39.1,51.4,214,1.18
41.2,51.2,207,1.16
41.3,51,206,1.29
39.8,50.2,202,1.44
39,49,200,1.5
39.2,48.3,199,1.4
40,48.2,200,1.21
41.8,48.5,204,1.07
41.9,48.4,211,1.28
41.1,47.7,207,1.29
42,47.5,213,1.3
42,47.6,218,1.39
41.8,47.6,218,1.42
41.8,47.5,201,1.39
41.9,47.4,203,1.43
42.2,47.3,207,1.47
42.6,47.2,214,1.48
42.9,47.1,220,1.54
43.1,47.1,215,1.54
43.1,47,208,1.58
43.2,46.9,206,1.63
43.5,46.8,203,1.59
43.7,46.8,210,1.64
43.8,46.7,209,1.67
43.7,46.6,204,1.67
43.7,46.5,199,1.69
44.1,46.5,198,1.67
44.3,46.4,196,1.69
44.5,46.2,195,1.68
45,46,197,1.48
47,45.9,194,1.54
45.5,45.7,198,1.53
45.3,45.5,200,1.35
46.4,45.3,199,1.29
47.5,45.3,204,1.31
47,45.1,199,1.26
47.7,45.1,200,1.4
46.8,45,202,1.48
46.1,44.9,204,1.52
45.9,44.8,206,1.54
45.9,44.7,205,1.56
46.2,44.7,204,1.56
46.6,44.5,205,1.61
46.5,44.3,203,1.63
46.7,44.2,206,1.52
46.8,44.1,211,1.53
47,44.1,209,1.54
47.1,44,209,1.57
47.4,43.9,209,1.59
47.6,43.8,207,1.61
48,43.8,206,1.63
48.1,43.7,210,1.64
48.2,43.6,212,1.65
48.4,43.5,215,1.64
48.6,43.5,213,1.64
48.5,43.3,213,1.64
48.7,43.2,212,1.66
48.7,43.1,212,1.69
48.7,43.1,211,1.66
49.3,42.9,214,1.5
51.4,42.9,215,1.51
51.4,42.8,215,1.46
52.6,42.7,215,1.45
53.1,42.6,215,1.48
53.4,42.5,220,1.4
53.1,42.4,219,1.4
52.4,42.2,221,1.41
52.5,42.1,223,1.33
52,42,225,1.28
53.9,42,229,1.15
54.8,41.9,230,1.07
58.3,41.9,233,1.03
59.3,41.9,235,1.02
59.4,41.9,235,1.1
57.5,41.9,234,1.22
56.3,41.9,233,1.31
56,41.9,227,1.37
56.1,41.9,228,1.4
55.8,41.9,223,1.44
55.8,41.9,222,1.48
56.5,41.8,230,1.45
56.7,41.8,237,1.45
57.1,41.7,232,1.32
56.9,41.6,234,1.23
58.1,41.6,232,1.17
59,41.6,227,1.19
57.4,41.5,227,1.17
57.2,41.5,224,1.27
56.2,41.4,222,1.33
56.1,41.3,222,1.31
57.8,41.3,221,1.22
59.6,41.2,221,1.23
58.7,41.2,222,1.03
62.4,41.1,230,1.2
59.6,41.1,235,1.2
59,41,238,1.24
58.3,41,238,1.21
59.8,41,239,1.27
59.8,41,238,1.33
58.9,40.9,237,1.37
58.8,40.8,236,1.41
59.4,40.8,234,1.44
60.3,40.8,235,1.45
61.5,40.8,235,1.48
62.2,40.8,234,1.37
66.9,40.7,234,1.36
62.9,40.6,236,1.39
61.8,40.6,236,1.22
66.5,40.6,236,1.22
64.1,40.6,235,1.23
65.3,40.5,235,1.25
65.4,40.5,234,1.17
66.7,40.5,234,1.2
65.8,40.5,235,1.14
67.4,40.4,234,1.18
66.4,40.4,233,1.16
66.8,40.4,233,1.26
64.8,40.4,233,1.28
63.8,40.4,233,1.31
63,40.3,232,1.35
63.5,40.3,232,1.37
64.3,40.3,232,1.4
64.5,40.2,231,1.42
64.6,40.2,230,1.44
64.8,40.2,232,1.42
66.2,40.1,231,1.32
67.3,40.1,230,1.33
67.7,40.1,231,1.33
66.9,40.1,232,1.37
66.4,40.1,231,1.41
66.2,40,231,1.44
65.8,40,232,1.46
65.2,39.9,231,1.49
65.2,39.9,230,1.57
66.5,39.9,230,1.59
67.1,39.8,232,1.6
67.1,39.8,246,1.63
66.4,39.7,231,1.63
66.5,39.7,239,1.65
66.3,39.6,232,1.65
66.9,39.6,231,1.65
67.6,39.6,229,1.67
67.2,39.5,230,1.67
66.9,39.5,229,1.55
69.9,39.4,230,1.51
70.6,39.4,230,1.42
69.8,39.3,231,1.49
69.1,39.2,230,1.52
69.2,39.1,230,1.48
70,39,230,1.41
70.6,39,231,1.41
69.6,38.9,232,1.28
71.5,38.9,233,1.19
74.1,38.8,233,1.32
70.9,38.8,235,1.39
69.5,38.8,230,1.44
68.5,38.7,234,1.46
67.9,38.7,240,1.49
67.6,38.7,239,1.51
67.8,38.7,238,1.52
67.7,38.7,238,1.53
67.6,38.6,239,1.54
69.5,38.6,238,1.56
71,38.5,232,1.44
72.2,38.5,237,1.49
70.7,38.2,234,1.53
72.2,38,292,1.27
70.9,37.9,276,1.25
70.8,38,264,1.25
70.9,38,285,1.23
71,38,296,1.34
71.2,37.9,276,1.5
82.4,36.1,336,1.84
82.9,36.2,326,2
82.6,36.1,318,2.06
82.6,36.1,314,2.08
83.3,36.1,310,2.01
83.7,36.1,292,1.89
84.1,36,291,1.89
83.4,36,290,1.97
83.6,35.9,302,1.95
84.9,36,306,1.99
85.3,35.9,307,2.02
84.9,35.9,303,2.04
84.1,35.6,307,2.11
84.6,35.5,325,2.07
84.9,35.4,337,2.04
85.3,35.5,333,1.93
86.4,35.6,333,1.93
86.2,35.6,318,1.98
85.8,35.4,326,2.05
87.2,35.2,331,2.08
89,35.4,327,2.05
87.2,35.4,330,2.1
86.4,35.4,323,2
86.3,35.4,321,2.04
87.1,35.4,328,1.99
87.5,35.5,328,1.97
88.1,35.4,329,1.97
88.7,35.4,324,1.98
88.5,35.5,318,2.02
87.7,35.4,312,2.04
87.7,35.4,310,2.09
87.9,35.4,322,2.06
87.3,35.4,319,2.07
87.5,35.4,316,2.09
89.3,35.4,317,2.07
87.1,35.3,323,2.08
87,35.2,325,2.08
87.2,35.3,330,2.15
87.6,35.3,318,2.13
88.1,35.2,316,2.1
87.9,35.1,315,2.09
87.7,35.1,327,2.08
87.2,35,321,2.06
88.1,35.1,312,2.05
88.2,35.1,308,2.02
88.4,35,308,2.05
89.1,35.1,306,2.05
89.2,35,302,2.08
90.6,35,302,2.13
88.6,35,300,2.2
87.7,34.9,295,2.27
87.2,34.9,288,2.37
87.2,34.9,292,2.13
87.2,34.9,293,2.05
87.4,34.8,291,2.14
87.5,34.8,291,2.13
88,34.9,290,2.09
87.7,34.8,291,2.15
87.8,34.8,297,2.18
88.4,34.8,296,2.22
88.2,34.7,286,2.44
88.7,34.8,287,2.45
88.7,34.8,289,2.48
88.6,34.8,294,2.52
88.7,34.8,295,2.52
88.6,34.8,292,2.48
89.1,34.9,289,2.48
90.1,34.9,292,2.48
90.4,34.9,300,2.48
90.9,34.9,303,2.46
91.8,35,313,2.48
92.1,35,317,2.5
92,35,316,2.48
91.2,34.9,314,2.52
89.3,34.9,317,2.28
87.8,34.9,310,2.46
87.2,34.9,307,2.47
86.8,34.9,305,2.46
86.7,34.9,309,2.45
87,34.7,308,2.46
87.6,34.5,308,2.46
88.4,34.5,318,2.19
89.3,34.5,322,2.42
88.8,34.5,324,2.1
88,34.5,330,2.07
88.8,34.5,324,2.31
89.1,34.5,322,2.1
88.8,34.5,321,2.06
89.6,34.5,321,2.07
89.9,34.6,322,2.06
90,34.5,318,2.07
89.9,34.6,315,2.09
90,34.6,315,2.13
90.2,34.6,313,2.16
88.6,34.5,307,2.18
88.4,34.4,306,2.25
88.9,34.4,306,2.28
89.3,34.4,302,2.36
89.6,34.3,305,2.13
89.8,34.2,302,2.28
90.1,34.1,304,2.27
90.7,34.1,299,2.38
88.9,34.1,297,2.42
88.3,34,288,2.48
88.1,33.8,281,2.46
88.2,33.7,279,2.45
88.5,33.7,279,2.43
90.1,33.8,280,2.42
90.4,33.8,282,2.41
90.6,33.7,285,2.38
90.6,33.7,286,2.44
91,33.6,282,2.48
90.6,33.5,280,2.45
90.5,33.4,277,2.43
91.1,33.5,273,2.42
91.2,33.5,276,2.38
91.5,33.5,280,2.22
91.2,33.5,281,2.33
91.1,33.4,281,2.25
90.8,33.4,280,2.29
90.7,33.5,280,2.31
91,33.5,281,2.22
91.4,33.5,279,2.22
90.8,33.4,277,2.24
91.1,33.4,278,2.19
91.2,33.4,279,2.19
91.4,33.4,280,2.18
92.3,33.4,283,2.16
92,33.3,282,2.23
91.4,33.2,279,2.31
91.2,33,274,2.27
91.2,33,272,2.26
91.9,33,269,2.24
92.2,33,268,2.23
91.9,32.9,265,2.22
92,32.9,259,2.23
92,32.8,260,2.22
92.2,32.7,262,2.23
92.1,32.7,271,2.24
92.8,32.7,274,2.25
92.7,32.7,276,2.25
92.7,32.6,272,2.27
92.8,32.6,271,2.26
92.9,32.6,274,2.26
93.3,32.6,276,2.26
94,32.6,277,2.25
93.5,32.6,277,2.26
93.5,32.7,274,2.25
94,32.6,275,2.3
93.3,32.5,275,2.29
93.2,32.5,276,2.29
93,32.5,275,2.29
92.9,32.4,274,2.24
93,32.4,270,2.25
93.2,32.3,268,2.48
93.1,32,262,2.57
70.6,39.1,385,3.31
70.7,38.9,377,2.13
70.5,39,380,1.83
71.3,39.1,380,1.82
71.8,38.9,382,1.89
70.1,38.8,384,1.91
70.9,38.7,384,2.04
69.1,38.2,382,2.1
69.5,37.9,382,2.07
70.8,37.9,382,2.06
70.9,37.9,383,2.09
72.6,38.1,383,2.08
73.6,38.3,383,2.09
99.9,27.1,24,2.92
99.9,27.3,54,2.93
99.5,27.5,53,2.95
99.4,27.6,75,2.95
99.6,27.6,112,2.98
99.1,27.6,130,3.01
97.3,27.8,147,2.85
97.1,27.9,157,2.86
97.5,28.2,171,2.93
96,28.3,184,2.91
95.5,28.7,213,2.95
96.5,29,218,2.93
95.6,28.9,239,2.68
93.6,29.7,266,2.79
93.4,30.2,245,2.98
92.6,29.8,316,3.04
91.8,30.7,280,3.07
92.3,30.2,322,3.1
92.7,30,319,3.25
91.7,30.2,287,3.25
92.1,30.3,312,3.31
93,30.2,297,3.23
94,30.3,364,3.26
94.7,30.2,300,3.23
93.6,30,300,3.21
93.6,30,298,3.3
93.7,30.3,264,3.28
93,31,296,3.28
90.5,31.1,297,3.21
91.7,31.2,321,2.98
90.9,31.1,304,3.16
90.3,32.3,306,3.28
91.2,31.1,321,3.26
90.7,30.7,301,3.23
94.5,30.7,307,3.35
93.3,30,312,3.16
96.1,29.7,303,3.3
96.6,28.5,308,3.33
97.2,28.6,284,3.35
97.4,28.9,253,3.2
97.5,28.8,259,3.21
99.2,28.7,271,3.33
99.9,27.8,272,3.31
99.9,27.8,215,3.37
97.3,28.5,178,3.37
97.9,28.4,227,3.4
97.6,28.3,262,3.4
96.6,28.5,271,3.37
96.5,28.6,274,3.23
95.8,29.3,283,3.35
99.9,28.2,298,3.05
99.6,27.2,217,3.44
99.9,27.2,172,3.49
99.9,27,162,3.53
99.9,26.2,185,3.53
99.9,25.7,183,3.55
99.9,25.2,173,3.59
99.9,24.9,158,3.59
